Environment	Genotype	Block	BN	FT	MT	DT	PH	SN	SP	PW	PN	SW	SY	OIL	PNM
N4	TN001	R1	7.4	195	245	50	121	7.285811015	3914.301968	0.021772918	5372.5	2.9884	1169.75	37.4664	482.5
N4	TN001	R2	6.428571429	194	247	53	130	.	.	.	3973.214286	2.557142857	.	40.95371429	583.9285714
N4	TN001	R3	6.875	196	244	48	119	12.12443184	6230.8213	0.033584676	5139.0625	2.77	1725.9375	41.125875	606.25
N4	TN002	R1	8	188	241	53	103	9.209823812	4312.5	0.027997864	4682.5	3.04	1311	43.299	600
N4	TN002	R2	8.25	191	243	52	97	15.28749946	6095.890411	0.044639498	3987.5	2.92	1780	42.4155	487.5
N4	TN002	R3	7.625	189	243	54	109	17.21326944	6108.021077	0.055125495	3548.4375	3.2025	1956.09375	46.693125	478.125
N4	TN003	R1	11.8	192	240	48	124	11.00106156	10981.8097	0.035379414	9982.5	3.216	3531.75	47.2338	720
N4	TN003	R2	7.75	191	242	51	136	15.99261195	5262.568871	0.038702121	3290.625	2.42	1273.541667	46.791	385.9375
N4	TN003	R3	8.875	193	241	48	121	12.26972196	6980.321508	0.027668223	5689.0625	2.255	1574.0625	45.6435	592.1875
N4	TN004	R1	.	196	241	45	133	.	.	.	.	.	.	.	.
N4	TN004	R2	7	196	244	48	123	11.11999382	6565.429688	0.028467184	5904.166667	2.56	1680.75	42.1102	525
N4	TN004	R3	6.375	195	246	51	130	9.463300898	3173.163082	0.030174411	3353.125	3.188571429	1011.785714	44.02828571	484.375
N4	TN005	R1	8.8	191	.	.	112	13.29726577	6625.362669	0.034373432	4982.5	2.585	1712.65625	44.585125	727.5
N4	TN005	R2	7.5	193	240	47	125	10.19719171	4077.283372	0.023326076	3998.4375	2.2875	932.6785714	44.004125	679.6875
N4	TN005	R3	7.4	193	241	48	110	9.385043006	5609.909457	0.018657465	5977.5	1.988	1115.25	41.4054	657.5
N4	TN006	R1	.	191	245	54	113	.	.	.	.	.	.	.	.
N4	TN006	R2	.	194	.	.	85	.	.	.	.	.	.	.	.
N4	TN006	R3	8	191	248	57	129	12.5481364	6593	0.026141951	5254.166667	2.083333333	1373.541667	42.83516667	858.3333333
N4	TN007	R1	.	197	245	48	125	.	.	.	.	.	.	.	.
N4	TN007	R2	6.5	199	246	47	105	10.46199104	6744.714848	0.026599612	6446.875	2.5425	1714.84375	39.78875	509.375
N4	TN007	R3	8.125	197	250	53	138	10.37535433	7141.161844	0.028687855	6882.8125	2.765	1974.53125	42.95825	826.5625
N4	TN008	R1	7.2	198	238	40	110	8.612603897	5983.606557	0.025217704	6947.5	2.928	1752	40.7448	725
N4	TN008	R2	6.25	199	248	49	131	8.769329888	5697.324012	0.022734488	6496.875	2.5925	1477.03125	41.613625	882.8125
N4	TN008	R3	6.5	201	250	49	114	7.534891768	3893.027414	0.021072581	5166.666667	2.796666667	1088.75	45.018	681.25
N4	TN009	R1	8.2	190	.	.	100	17.24778815	6377.369668	0.0436714	3697.5	2.532	1614.75	45.785	482.5
N4	TN009	R2	7	193	240	47	95	9.892392926	2975.961538	0.021433518	3008.333333	2.166666667	644.7916667	45.431	466.6666667
N4	TN009	R3	.	190	.	.	119	.	.	.	.	.	.	.	.
N4	TN010	R1	.	193	245	52	128	.	.	.	.	.	.	.	.
N4	TN010	R2	.	191	245	54	115	.	.	.	.	.	.	.	.
N4	TN010	R2	6	191	243	52	110	6.038577502	2697.734499	0.015193061	4467.5	2.516	678.75	40.6232	435
N4	TN011	R1	8	194	241	47	130	12.70670882	5652.5	0.039708465	4448.4375	3.125	1766.40625	44.0255	660.9375
N4	TN011	R2	8.375	195	245	50	120	12.01193674	8507.82957	0.041230973	7082.8125	3.4325	2920.3125	42.66125	664.0625
N4	TN011	R3	7.875	193	248	55	99	8.714547103	3902.483124	0.022592463	4478.125	2.5925	1011.71875	44.1745	660.9375
N4	TN012	R1	8.8	194	244	50	130	15.77447396	9299.052397	0.056598813	5895	3.588	3336.5	47.3218	652.5
N4	TN012	R2	7.125	194	247	53	129	12.42224637	6137.3661	0.049285262	4940.625	3.9675	2435	44.997375	587.5
